date,evi,ndvi,region
2000-02-18,0.19209994887657048,0.3058721584262094,Cauca
2000-03-05,0.330629282203135,0.5306617099903466,Cauca
2000-03-21,0.3152943501664279,0.47910426342179746,Cauca
2000-04-06,0.3506040097127702,0.5433457242207216,Cauca
2000-04-22,0.3241534834160665,0.48009474735606406,Cauca
2000-05-08,0.2661996375395795,0.4173889333660236,Cauca
2000-05-24,0.35813449358159677,0.591181052177926,Cauca
2000-06-09,0.36482632814133054,0.5491302092831258,Cauca
2000-06-25,0.34020704155087544,0.5381006135808827,Cauca
2000-07-11,0.34168386024982494,0.5530252075055754,Cauca
2000-07-27,0.3474541245658519,0.5074112098574751,Cauca
2000-08-12,0.291195305868551,0.46198568364942055,Cauca
2000-08-28,0.3953894886581051,0.5948200820031105,Cauca
2000-09-13,0.32135222986385387,0.480249867789628,Cauca
2000-09-29,0.34598515472320646,0.5151445192022912,Cauca
2000-10-15,0.3115676912063887,0.4733975575933398,Cauca
2000-10-31,0.35603622920950967,0.5702179073887131,Cauca
2000-11-16,0.28353637692006156,0.4543227706845671,Cauca
2000-12-02,0.37597159371463357,0.6074227691580646,Cauca
2000-12-18,0.3836541844196157,0.591949162452792,Cauca
2001-01-01,0.36888615896124216,0.6074906134273987,Cauca
2001-01-17,0.373194256386733,0.6361723132219044,Cauca
2001-02-02,0.37058147446136563,0.5915950242230731,Cauca
2001-02-18,0.3477099732302356,0.5172021242217925,Cauca
2001-03-06,0.37704387396635086,0.629524790409383,Cauca
2001-03-22,0.390552222094019,0.580906172261462,Cauca
2001-04-07,0.40798286136553696,0.6572317685041481,Cauca
2001-04-23,0.3611267403544777,0.5848302010597404,Cauca
2001-05-09,0.37563692828380474,0.620818648145949,Cauca
2001-05-25,0.37599931378223406,0.6272781925427423,Cauca
2001-06-10,0.29669697239876963,0.4465146422201749,Cauca
2001-06-26,0.28379354390947814,0.45826027819916076,Cauca
2001-07-12,0.37439333356398086,0.593957014454042,Cauca
2001-07-28,0.30389365331927415,0.48053080994630704,Cauca
2001-08-13,0.35571050049843955,0.5679479376946284,Cauca
2001-08-29,0.3436531115209433,0.5982730003383765,Cauca
2001-09-14,0.35822018383862503,0.5918142864208247,Cauca
2001-09-30,0.32433557241180355,0.5105128869950485,Cauca
2001-10-16,0.3422124359586216,0.5315536555986767,Cauca
2001-11-01,0.3948452779713551,0.63089291886033,Cauca
2001-11-17,0.2617625833809625,0.4059585861720568,Cauca
2001-12-03,0.3019904062899658,0.4696086620835229,Cauca
2001-12-19,0.3663489852619729,0.5440612382670852,Cauca
2002-01-01,0.46146127660369596,0.7135451035998062,Cauca
2002-01-17,0.38821955460069413,0.6425087244239098,Cauca
2002-02-02,0.3990295794201622,0.6550798285732188,Cauca
2002-02-18,0.3621299160034792,0.5184386863280567,Cauca
2002-03-06,0.3416924801889833,0.5325753736225296,Cauca
2002-03-22,0.30221326966258144,0.4428058090946443,Cauca
2002-04-07,0.3967177341309146,0.6462930727542765,Cauca
2002-04-23,0.3743831730134322,0.5944968475275263,Cauca
2002-05-09,0.32684808284536804,0.5162640682684845,Cauca
2002-05-25,0.372773597723793,0.6375640335816698,Cauca
2002-06-10,0.40033111428793805,0.6212900751320208,Cauca
2002-06-26,0.37607362020043034,0.597578865625946,Cauca
2002-07-12,0.33582554140508125,0.5088612719103811,Cauca
2002-07-28,0.29770393405885126,0.46062347213744625,Cauca
2002-08-13,0.27329242798988856,0.40887074621926367,Cauca
2002-08-29,0.3634236246313927,0.5490710696570726,Cauca
2002-09-14,0.3582511649213054,0.5078493388612926,Cauca
2002-09-30,0.41914865316303906,0.6456534106372603,Cauca
2002-10-16,0.3459329436260967,0.5207346330476433,Cauca
2002-11-01,0.3259434610709658,0.5248323721364871,Cauca
2002-11-17,0.35434371515425955,0.558943142215355,Cauca
2002-12-03,0.3976338051705717,0.5912880031044763,Cauca
2002-12-19,0.3939439628319986,0.6418732723293032,Cauca
2003-01-01,0.40808519168412594,0.663053276279698,Cauca
2003-01-17,0.4010747646674934,0.6335426423039355,Cauca
2003-02-02,0.3711170023706118,0.5243446708042381,Cauca
2003-02-18,0.3607495823337675,0.5637685067856634,Cauca
2003-03-06,0.4299389025458663,0.6895388035522211,Cauca
2003-03-22,0.37802671509859676,0.577315184405734,Cauca
2003-04-07,0.3074153884342747,0.5200175712034444,Cauca
2003-04-23,0.38614766965214864,0.6009393699847528,Cauca
2003-05-09,0.3274793493571381,0.49297016857545223,Cauca
2003-05-25,0.3923725691661842,0.5955784418373046,Cauca
2003-06-10,0.31434183146005806,0.5087944532353186,Cauca
2003-06-26,0.43088724335464035,0.6723621786188244,Cauca
2003-07-12,0.38158809226740653,0.5947125724295452,Cauca
2003-07-28,0.35178115696183737,0.5860441356115719,Cauca
2003-08-13,0.32226287042416,0.502217807952628,Cauca
2003-08-29,0.35167363434388715,0.5603989403855647,Cauca
2003-09-14,0.2965946539598879,0.4390719004977012,Cauca
2003-09-30,0.34305570567868326,0.5082431093933852,Cauca
2003-10-16,0.38452249994367377,0.6074977448173726,Cauca
2003-11-01,0.40909243501285614,0.6289041781143423,Cauca
2003-11-17,0.3769020997935822,0.6020127899637343,Cauca
2003-12-03,0.361759516420714,0.5748086600969406,Cauca
2003-12-19,0.3029388238543259,0.49320779022436106,Cauca
2004-01-01,0.36349229131752314,0.5887400820190195,Cauca
2004-01-17,0.4062048845806128,0.7021958782145497,Cauca
2004-02-02,0.3939994676650406,0.6830000356556626,Cauca
2004-02-18,0.4014384157369546,0.601600646528168,Cauca
2004-03-05,0.41651213572697,0.5907068156323874,Cauca
2004-03-21,0.3910161492433892,0.6218793883951298,Cauca
2004-04-06,0.40820648383115377,0.59178100814993,Cauca
2004-04-22,0.3296639610794859,0.518260048278283,Cauca
2004-05-08,0.304661105584547,0.4818351163994112,Cauca
2004-05-24,0.3188760956189899,0.5306341250983383,Cauca
2004-06-09,0.3397067342648177,0.584645136103886,Cauca
2004-06-25,0.3641220231323933,0.5791676376778059,Cauca
2004-07-11,0.31323951743647627,0.5469432066076237,Cauca
2004-07-27,0.3437252092072731,0.5700131834712644,Cauca
2004-08-12,0.32773787739570037,0.5288343700256176,Cauca
2004-08-28,0.30567521780409224,0.45853605686559207,Cauca
2004-09-13,0.33307004245470295,0.5814406457617001,Cauca
2004-09-29,0.35312066237910905,0.5446092838095947,Cauca
2004-10-15,0.34940016170175353,0.5945138179834566,Cauca
2004-10-31,0.3437464066453004,0.5511528262055768,Cauca
2004-11-16,0.361185082220283,0.5566003544087645,Cauca
2004-12-02,0.3433791183793135,0.5399795147937685,Cauca
2004-12-18,0.3749535651535005,0.6269646195822479,Cauca
2005-01-01,0.3507714351846512,0.5410413169951325,Cauca
2005-01-17,0.4116805994646959,0.648785296749707,Cauca
2005-02-02,0.2843348343989231,0.44608515159766804,Cauca
2005-02-18,0.3782882765031171,0.587980001379859,Cauca
2005-03-06,0.33476887451249676,0.5363566233622322,Cauca
2005-03-22,0.3702335691031648,0.5281022032560262,Cauca
2005-04-07,0.37732451565486264,0.5506742012421428,Cauca
2005-04-23,0.43665340151396753,0.6629984408192502,Cauca
2005-05-09,0.42015036096541636,0.6810688921909008,Cauca
