mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.17340855598449706,0.02569945036701453,0.009632730484008789,0.0018293911025139369,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.2252937698727283,0.041472889949378144,0.25474599880796456,0.2224816661256619,0.1522039568325687,0.1792396563176603,0.07668464188618547,1
0.33592772483825684,0.042305631340372525,0.00912647247314453,0.00090651928885314,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.1988087967952581,-0.0008006984187340915,0.24086427879291827,0.19604784342204562,0.15225287506836738,0.15743461913197104,0.08393876097542007,2
0.6845525741577149,0.10994563662614079,0.012508821487426759,0.003657970015038666,0.05,3,400,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 400}",0.17389756087342623,-0.057554657645500606,0.19180842104640883,0.15033732556577772,0.1333216107304398,0.1183620521141104,0.09019030670914346,4
0.564087200164795,0.11247842777096027,0.013486194610595702,0.0018012790810492832,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.07889854737823698,-0.06769963850705052,0.19425464376649015,0.1308927960069597,0.19191227427985125,0.10565172458489751,0.09663839711439387,6
1.0879386901855468,0.19750315932608517,0.015010786056518555,0.005802949880118452,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.06211852753472502,-0.11977928133816573,0.16819042606697354,0.11313576410044202,0.19586090161065328,0.08390526759492563,0.11176272309585913,10
1.8807976245880127,0.4901294108263665,0.01122889518737793,0.00038154772914663314,0.05,5,400,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 400}",0.05895484372049575,-0.14668930949957315,0.16729734693092957,0.10086003457174486,0.18118124837699312,0.07232083282011803,0.1181775837017997,12
1.4207075119018555,0.35078361326169805,0.014419174194335938,0.002025034834773689,0.05,7,100,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}",0.06491947087319916,-0.16922543317519967,0.15009910097945833,0.08900782886981673,0.17887491155323354,0.06273517582010162,0.12298100764266988,13
2.070032835006714,0.655235402030036,0.013120174407958984,0.0010605030242810613,0.05,7,200,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}",0.05515350342330427,-0.17970395875863243,0.15278976883526285,0.08791565917099231,0.18834377998600793,0.060899750531386986,0.1291036635476188,14
2.5912405490875243,1.0595622236218754,0.013043832778930665,0.0015631923576988642,0.05,7,400,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 400}",0.05515091230878455,-0.17970395875863243,0.1530500810086043,0.08668580076037291,0.18689268885772503,0.06041510483537087,0.12880438188147875,15
0.18989782333374022,0.020043944990904443,0.009133386611938476,0.0010721281825373753,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.16858598480804798,-0.039521961473256706,0.22300846266191565,0.19038198793294603,0.16355570453787338,0.14120203569350526,0.09275957042532579,3
0.35428848266601565,0.044831550944270625,0.009507513046264649,0.0019097965660837843,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.15357679358977694,-0.07268754458864435,0.19205670815310905,0.1655912246401947,0.10527975632701103,0.10876338762428947,0.09498631285275645,5
0.7038537979125976,0.12502961222541112,0.011003589630126953,0.0017951947549421237,0.1,3,400,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}",0.14679986259781752,-0.10753717036222166,0.1612343155129029,0.12755485909468922,0.08408885486069517,0.08242814434077664,0.09846840088098868,11
0.5071403026580811,0.099259562922504,0.009491062164306641,0.0023235000864687216,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.06194562310839746,-0.11057542874506043,0.19182877628219996,0.15933505104609846,0.21482969616515712,0.10347274357135852,0.11905366740233064,7
0.8699493885040284,0.23418879796479158,0.010087108612060547,0.003092020984205025,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.062467828251515756,-0.13125594266362972,0.20209595782276768,0.1547729467633161,0.20177504460296158,0.09797116695538628,0.12541867015768215,8
1.205218458175659,0.4661773888009125,0.010877227783203125,0.0019286161241736657,0.1,5,400,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 400}",0.062467828251515756,-0.13124605982652948,0.20261329851221388,0.15229142452040012,0.19950232112916677,0.09712576251735341,0.12490531767378087,9
1.0338934421539308,0.31330690591286886,0.01072549819946289,0.0012334369731000848,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.055278696435574703,-0.16763979350941205,0.1659764748641981,0.07693014297478029,0.15664483365714077,0.05743807088445636,0.1205547309157088,16
1.199407148361206,0.4217023292106635,0.009115076065063477,0.0023179490560675995,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.05527762925999058,-0.16763979350941205,0.16712746261642109,0.0716512089104222,0.1500850591398032,0.055300313283445,0.1195484026611597,17
1.1295427799224853,0.29757767461238394,0.008071088790893554,0.004244423430083688,0.1,7,400,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 400}",0.05527762925999058,-0.16763979350941205,0.16712746261642109,0.0716512089104222,0.1500850591398032,0.055300313283445,0.1195484026611597,17
