mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9905481338500977,0.9668469061911169,0.014252471923828124,0.0015546472255497856,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.2369203775631874,0.055653002774448845,0.27177245678659867,0.201553053775264,0.1858459573410587,0.19034896964811152,0.0736036580693927,44
3.8588382244110107,1.855668050820955,0.028892707824707032,0.004704493670599188,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.2351872626277275,0.08470789812372503,0.27877868245872217,0.2032875667555062,0.19313070512251462,0.1990184230176391,0.06448204534075895,27
7.624704742431641,3.776606109751423,0.05296802520751953,0.009351986844937005,,1,400,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.23496150792461756,0.08625100726476742,0.27281235487891775,0.20034955632003604,0.19713400212853416,0.19830168570337459,0.06238059663681658,31
1.601284646987915,0.7776871926829998,0.014321374893188476,0.0014349409618977342,,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.22644326126001657,0.06063343433583224,0.2645986026677487,0.19476303556370966,0.17567862532350975,0.18442339183016337,0.06884920712687116,47
3.2234859466552734,1.622934297771057,0.024547815322875977,0.002508607827734097,,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}",0.21921148884155583,0.08329964956485592,0.2735383899192724,0.19598772321848146,0.18864913225755164,0.19213727676034345,0.062018991231516316,38
5.732090663909912,2.376911640494259,0.031972742080688475,0.011118401795379419,,2,400,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.2201226802935896,0.08060079754788985,0.27200719525760153,0.18817796506384998,0.19365895139923273,0.19091351791243275,0.06263110505334359,42
1.3060351371765138,0.6991945448693944,0.014332008361816407,0.003317222992135871,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",0.2333633924185219,0.06610853586505261,0.2683640196875692,0.22110523907379498,0.1828600539306,0.19436024819510772,0.06970488386796808,34
2.1437149047851562,0.7777902107142686,0.014940738677978516,0.005343409048762379,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",0.23750780229946966,0.07906429777305879,0.2681206558772904,0.22828707646380197,0.1902417989002433,0.20064432626277284,0.06567497006549677,19
2.6394745349884032,1.1293841056245486,0.013287925720214843,0.0033410256926497224,,5,400,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.242131915970207,0.08274784456676876,0.2614623862445843,0.22314279261644543,0.19111310342477383,0.20011960856455585,0.06311146562982142,22
0.5000165939331055,0.2680333489617213,0.005472421646118164,0.0008894010978725822,,10,100,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 100}",0.25206599793035156,0.0931764018974034,0.2644407099787883,0.24676258644990423,0.1839481627662216,0.20807877180453382,0.06386363997667936,10
1.0027324199676513,0.5440645772025003,0.006460714340209961,0.0016061836616195957,,10,200,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 200}",0.25124772533901896,0.09928786026560754,0.2694262177106982,0.2586225525672897,0.18311938939345862,0.21234074905521458,0.06410827153441591,3
1.9716654300689698,1.0397510229462517,0.012678289413452148,0.0019452589933646718,,10,400,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 400}",0.2550285815559685,0.1000730935020484,0.2644262453260947,0.2527084148658393,0.18336546823027078,0.21112036069604434,0.06261125306515962,7
0.47122745513916015,0.1990026167299986,0.004197406768798828,0.0008504624506584529,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.24401328292525903,0.09568994747513482,0.279072442174638,0.21949172644506243,0.15701725681288115,0.1990569311665951,0.06525826225182028,26
0.9406926155090332,0.4080955744991288,0.008305740356445313,0.0017797048543496618,5,1,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 200}",0.23993513157227897,0.1057036266073822,0.2825641791774002,0.2231968171711125,0.17073993756889305,0.20442793841941337,0.060991269603189575,14
1.9244633197784424,0.8633481182246349,0.016776657104492186,0.0029929905688491393,5,1,400,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 400}",0.23862086691237328,0.10080591569377428,0.2757381081957566,0.22406258403776302,0.17402713716277307,0.20265092240048804,0.0604743902195876,16
0.4687506675720215,0.1982946823465803,0.004778575897216797,0.0013774229876947304,5,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}",0.22906742202896824,0.09516850626066176,0.2824063634450654,0.21184996914637788,0.15628252422770672,0.194954957021756,0.06410888082423649,33
0.967136812210083,0.4403669659374203,0.007557201385498047,0.0012590326137156002,5,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 200}",0.22365300059376125,0.1023140985732035,0.28430867837783047,0.21759422682877216,0.1719478849024556,0.1999635778552046,0.060508552074489,24
1.9918256282806397,0.8451074775714681,0.013786840438842773,0.0024799288520192635,5,2,400,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 400}",0.22552044598264642,0.09819784691060307,0.2768950554474713,0.21877704407205179,0.17493952839630622,0.19886598416181575,0.059836436642796365,28
0.4933335781097412,0.22583733772331152,0.005442333221435547,0.0005505012071439623,5,5,100,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}",0.238548134258047,0.08714760769925989,0.27657049752498264,0.22640146772352,0.16332435662451283,0.19839841276606446,0.0665041007767527,30
0.954857587814331,0.4136568624623068,0.0068186759948730465,0.0017659619676233444,5,5,200,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 200}",0.24143270304985265,0.09743699742920175,0.27713061503647696,0.2398460149747187,0.17200008035741332,0.20556928216953266,0.06387736069093256,13
1.863528347015381,0.8335000151959459,0.013286590576171875,0.001364580675970922,5,5,400,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 400}",0.243637279509891,0.09473244271665848,0.27229116092488426,0.2378793195578769,0.17122884220828516,0.20395380898351917,0.06386852444004977,15
0.43173837661743164,0.20248283872037345,0.004831743240356445,0.00128831105382142,5,10,100,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 100}",0.25129128152367264,0.09642683910849603,0.2746763190195771,0.2515923580868006,0.16557972501832718,0.20791330455137472,0.06703457710445894,12
0.8615631580352783,0.4044954147310864,0.008542919158935547,0.0014845279556026548,5,10,200,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 200}",0.25040236046397935,0.09937048525791214,0.27658952736546216,0.2655001730707932,0.17101902297119365,0.2125763138258681,0.06763431707979067,1
1.7185182094573974,0.8331719802026571,0.014301109313964843,0.0007817139635542003,5,10,400,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 400}",0.2548424082451278,0.09916095095066513,0.27261748083738613,0.26303028953920893,0.16913080043401985,0.21175638600128158,0.06735601517407742,5
0.8025657653808593,0.3763994693945572,0.006772279739379883,0.000514748417810536,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",0.2422126921308928,0.04411774581601369,0.2746289181904964,0.202639357754836,0.19496989377399498,0.19171372153324678,0.07917022180158682,41
1.6348351001739503,0.7746193866259146,0.011168193817138673,0.0007778792685919643,10,1,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}",0.24034378789393918,0.08130121169709603,0.2754471844829566,0.20679554326006744,0.20270528896911943,0.20131860326063572,0.06550435960518222,17
3.2489098072052003,1.5248600587604468,0.021221637725830078,0.0012224197982904732,10,1,400,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.23726120020642139,0.08541510074012137,0.27359341037377816,0.19824436619941477,0.2033326584826881,0.19956934720048475,0.06316224787497388,25
0.7505833625793457,0.3718449782325577,0.005510091781616211,0.0006586314175463305,10,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",0.2255153245231718,0.061825163961749086,0.2665952173773557,0.1985682541779118,0.17792549449869388,0.18608589090777644,0.06884702115172787,46
1.4769485950469972,0.7421554604001311,0.008402061462402344,0.0010738679333507641,10,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",0.21792574315824453,0.08714198613936797,0.2742603075119978,0.19546683144588894,0.18865729857158864,0.19269043336541758,0.06075345998875374,37
3.2404261589050294,1.944849438047206,0.02759232521057129,0.02118645026722033,10,2,400,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.21856591475599452,0.08116971164000109,0.2727053235672041,0.1935202336894437,0.1946826876097847,0.19212877425248562,0.06246899215788916,39
0.6221761226654052,0.3251967972308951,0.005666780471801758,0.00045155387228768424,10,5,100,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 100}",0.23342212295745612,0.06631498319233542,0.26854935086341425,0.2192904253843716,0.18279723981137763,0.194074824441791,0.06954171764960027,36
1.3589993953704833,0.8276003424463543,0.012752151489257813,0.011026495041476085,10,5,200,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",0.2375364936013571,0.07948588864029793,0.2680092815460897,0.22852912647738044,0.1912283454108359,0.20095782713519222,0.06548918625667617,18
4.354967260360718,3.046456250139299,0.03643498420715332,0.01659603131089916,10,5,400,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.2421462675311904,0.08268544955803991,0.2613802389096621,0.22276280025279205,0.19257753979682835,0.20031045920970256,0.06305442317082728,21
1.120628786087036,0.7117009242880852,0.013318014144897462,0.0056506584778326496,10,10,100,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}",0.25206599793035156,0.0931764018974034,0.26473298475271223,0.24810628767791,0.18357385864135778,0.20833110617994696,0.06410850949794342,9
2.604993772506714,1.2540065244729757,0.025067996978759766,0.003278420296426402,10,10,200,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 200}",0.25124772533901896,0.09928786026560754,0.2696063139255874,0.25937324279343543,0.18300347719142784,0.21250372390301547,0.06425986550061724,2
