date,dewpoint_c,lai_high,pet_mm,precip_mm,region,soil_moist_layer1,soil_moist_layer2,soil_moist_layer3,tmax_c,tmean_c,tmin_c,dewpoint_c_fuera_de_rango,lai_high_fuera_de_rango,pet_mm_fuera_de_rango,precip_mm_fuera_de_rango,soil_moist_layer1_fuera_de_rango,soil_moist_layer2_fuera_de_rango,soil_moist_layer3_fuera_de_rango,tmax_c_fuera_de_rango,tmean_c_fuera_de_rango,tmin_c_fuera_de_rango,es_duplicado
2000-02-18,14.564959258861853,3.974088363343389,5.823622716576556,9.24852851693378,Cauca,0.4458686527930469,0.441765500648589,0.4357129138717387,21.00418559232901,16.946506448513134,14.33709963529844,False,False,False,False,False,False,False,False,False,False,False
2000-02-19,15.122819754320204,3.973165964656887,5.549712770371881,9.662686786355108,Cauca,0.44736206562575,0.4459327217468606,0.4340215730038839,21.208266747047745,17.345149187166353,14.959298674040182,False,False,False,False,False,False,False,False,False,False,False
2000-02-20,15.204410467120988,3.9722397483145104,5.464751488284355,16.44695665289355,Cauca,0.4502128196549632,0.4511854422216478,0.4359282501624854,20.748073218549383,17.172895370321733,14.936827149194317,False,False,False,False,False,False,False,False,False,False,False
2000-02-21,15.00614283337604,3.971304349294874,5.373965973921595,9.915051716642928,Cauca,0.4472968814075435,0.4498809398042827,0.4390899048406345,20.97682603477929,17.006464857792622,14.169213542733209,False,False,False,False,False,False,False,False,False,False,False
2000-02-22,15.733581064455208,3.970381192522391,4.02494447109571,24.78547467503985,Cauca,0.4521219693405365,0.4562798508530671,0.4443769964459675,20.69837824542235,17.083245551107073,15.212337881568963,False,False,False,False,False,False,False,False,False,False,False
2000-02-23,15.64583222439833,3.9694437765918114,4.159262370101581,20.479963684613484,Cauca,0.4531208957018504,0.4563699523422438,0.4509417719030787,20.682492589235547,17.090524434954233,14.92987500721059,False,False,False,False,False,False,False,False,False,False,False
2000-02-24,15.73533803321176,3.96851920051163,2.9047738749737246,30.302367280267493,Cauca,0.4537936331759679,0.4577004279861336,0.453252893121857,19.763186995450504,16.771080515376465,15.262656991972,False,False,False,False,False,False,False,False,False,False,False
2000-02-25,15.267178513696924,3.96759752666532,3.7319384737841945,10.365985094145652,Cauca,0.4536665732594882,0.454811117790905,0.4512548166828029,19.865499580893008,16.983095529180478,15.247690071347153,False,False,False,False,False,False,False,False,False,False,False
2000-02-26,15.410172557178834,3.9666633068449295,4.1784740056637,11.717427407013345,Cauca,0.4509570472038721,0.4517943090537409,0.4489909529702541,20.759568927915723,17.2221818229235,14.931024087423037,False,False,False,False,False,False,False,False,False,False,False
2000-02-27,15.770193593302714,3.9657409682881486,3.57299306124584,17.23032539982076,Cauca,0.4505415080813321,0.4541524849948533,0.4490652242413429,19.96913113661205,17.229322592519615,15.439860327333266,False,False,False,False,False,False,False,False,False,False,False
2000-02-28,15.54338921369888,3.9648092517522096,4.225967132600121,16.182833824458925,Cauca,0.4535625003661138,0.4569590241398998,0.4525820254238471,20.736779238447827,17.332613418279703,15.30445099560335,False,False,False,False,False,False,False,False,False,False,False
2000-02-29,15.848412063672404,3.9638836239833615,4.381223642568593,18.53686901619042,Cauca,0.450861735677823,0.4559679121113453,0.4550723630557397,21.127294169658388,17.438665510942787,15.261314046354164,False,False,False,False,False,False,False,False,False,False,False
2000-03-01,15.474502484305797,3.962955531032736,4.86086781435166,12.810424591113764,Cauca,0.4492091321518286,0.4538887751211521,0.4561286252443828,21.244826336916997,17.592900946424457,15.18408944522412,False,False,False,False,False,False,False,False,False,False,False
2000-03-02,15.505736369386472,3.96203252325062,5.505340756510537,6.597565409661384,Cauca,0.4435406737980665,0.4480481712144946,0.4516664984990897,21.415503030163705,17.975242314783298,15.638294361891178,False,False,False,False,False,False,False,False,False,False,False
2000-03-03,15.794990973235576,3.96109375956603,5.126141483883316,16.208764957720295,Cauca,0.4462904291514358,0.4478526633664367,0.4486424344337767,21.42541959574621,17.685421889150234,15.12404097214768,False,False,False,False,False,False,False,False,False,False,False
2000-03-04,15.76987932452572,3.960172278216916,5.374577557434732,18.79631825191401,Cauca,0.4490589029162327,0.4530451872773982,0.4503022692685245,21.377212112289502,17.72044761832872,15.111574010782393,False,False,False,False,False,False,False,False,False,False,False
2000-03-05,15.303591361991236,3.9592446714345857,5.696196439083331,11.792470688757112,Cauca,0.4466206001448408,0.4510847138644732,0.4504989802582708,21.985030344355323,17.700100709227186,14.714735990109736,False,False,False,False,False,False,False,False,False,False,False
2000-03-06,15.70336899356887,3.9583186555246193,5.152505159156799,24.20923341978329,Cauca,0.4477161072806733,0.4519059095264301,0.4501219713498545,21.222023755677803,17.703070213385594,15.259065291833208,False,False,False,False,False,False,False,False,False,False,False
2000-03-07,15.600844145163869,3.957392951550409,5.033740187369314,19.96473838191565,Cauca,0.4474081826083148,0.4513794139143632,0.4507766414501739,20.94903744099396,17.428273660031174,15.275933364240773,False,False,False,False,False,False,False,False,False,False,False
2000-03-08,15.793019150004204,3.956463676595847,4.413319340502117,23.357193029884527,Cauca,0.4522778844689505,0.4552161782063815,0.4517788474636817,20.77123527373457,17.328783293875496,15.470794327381231,False,False,False,False,False,False,False,False,False,False,False
2000-03-09,15.851285429256022,3.955534647153881,3.698306794565174,18.367406839837187,Cauca,0.45216603233559,0.4552694392189644,0.4543014141389889,20.35742626545478,17.162368892152756,15.140125071397128,False,False,False,False,False,False,False,False,False,False,False
2000-03-10,15.384467373467478,3.954599725614852,6.051934675838593,9.92245046973368,Cauca,0.4482244285903058,0.4525886894763992,0.45322625077261,21.63127599820367,17.585907312683876,14.83791138736189,False,False,False,False,False,False,False,False,False,False,False
2000-03-11,15.22830034159812,3.953674627657936,6.883263779043572,5.110877127213536,Cauca,0.4437364075943282,0.4488410828113648,0.4498396571076862,22.5736827630602,17.934179653898532,14.10730091694365,False,False,False,False,False,False,False,False,False,False,False
