date,et_mm,region,et_mm_fuera_de_rango,es_duplicado
2011-01-01,3.5436228688112945,Cauca,False,False
2011-02-01,3.465397222294356,Cauca,False,False
2011-03-01,3.633384098358551,Cauca,False,False
2011-04-01,3.5575637854723348,Cauca,False,False
2011-05-01,3.557795481399622,Cauca,False,False
2011-06-01,3.442434642911841,Cauca,False,False
2011-07-01,3.664357440616867,Cauca,False,False
2011-08-01,3.567772132220827,Cauca,False,False
2011-09-01,3.476921015608918,Cauca,False,False
2011-10-01,3.547004584825552,Cauca,False,False
2011-11-01,3.6481163263872367,Cauca,False,False
2011-12-01,3.4216703052606894,Cauca,False,False
2012-01-01,3.0887346235918978,Cauca,False,False
2012-02-01,3.053535365326803,Cauca,False,False
2012-03-01,3.609410762391841,Cauca,False,False
2012-04-01,3.3010410993881205,Cauca,False,False
2012-05-01,3.394851450168912,Cauca,False,False
2012-06-01,3.5184125716621324,Cauca,False,False
2012-07-01,3.4360999468228868,Cauca,False,False
2012-08-01,3.2756879013864757,Cauca,False,False
2012-09-01,3.007943358591936,Cauca,False,False
2012-10-01,3.568495983179788,Cauca,False,False
2012-11-01,3.3974003017778225,Cauca,False,False
2012-12-01,3.5273304077158265,Cauca,False,False
2013-01-01,3.6774472353172656,Cauca,False,False
2013-02-01,3.336426413806852,Cauca,False,False
2013-03-01,3.5575721330203,Cauca,False,False
2013-04-01,3.454494717871493,Cauca,False,False
2013-05-01,3.328004911629633,Cauca,False,False
2013-06-01,3.990587109796581,Cauca,False,False
2013-07-01,3.5624117664559463,Cauca,False,False
2013-08-01,3.273736370516972,Cauca,False,False
2013-09-01,3.418740268954594,Cauca,False,False
2013-10-01,3.577197197011727,Cauca,False,False
2013-11-01,3.52594381919475,Cauca,False,False
2013-12-01,3.6062376464685215,Cauca,False,False
2014-01-01,3.4199863777520303,Cauca,False,False
2014-02-01,3.143500661263851,Cauca,False,False
2014-03-01,3.4836743199060245,Cauca,False,False
2014-04-01,3.3359153010127565,Cauca,False,False
2014-05-01,3.6656162505065866,Cauca,False,False
2014-06-01,3.712831822004262,Cauca,False,False
2014-07-01,3.85184916652592,Cauca,False,False
2014-08-01,3.3141984805189435,Cauca,False,False
2014-09-01,3.0596247239985623,Cauca,False,False
2014-10-01,3.442526622112331,Cauca,False,False
2014-11-01,3.563528989771944,Cauca,False,False
2014-12-01,3.7266738745731858,Cauca,False,False
2015-01-01,3.808305358739829,Cauca,False,False
2015-02-01,3.5017782926220966,Cauca,False,False
2015-03-01,3.535659523668373,Cauca,False,False
2015-04-01,3.449817020668527,Cauca,False,False
2015-05-01,3.640284903090985,Cauca,False,False
2015-06-01,3.73099194049281,Cauca,False,False
2015-07-01,3.3906377831668046,Cauca,False,False
2015-08-01,3.2828625792192385,Cauca,False,False
2015-09-01,3.202119919865859,Cauca,False,False
2015-10-01,3.400516136414499,Cauca,False,False
2015-11-01,3.577336817530896,Cauca,False,False
2015-12-01,4.2952463542477135,Cauca,False,False
2016-01-01,3.596223189338368,Cauca,False,False
2016-02-01,3.1725447508494766,Cauca,False,False
2016-03-01,3.386365790497532,Cauca,False,False
2016-04-01,3.6507120835350784,Cauca,False,False
2016-05-01,3.781046923642331,Cauca,False,False
2016-06-01,3.5907933821642346,Cauca,False,False
2016-07-01,3.393475699468939,Cauca,False,False
2016-08-01,3.297357466549519,Cauca,False,False
2016-09-01,3.210377775701168,Cauca,False,False
2016-10-01,3.813531956076861,Cauca,False,False
2016-11-01,3.7484795351947047,Cauca,False,False
2016-12-01,3.3249493141562225,Cauca,False,False
2017-01-01,3.254732648486564,Cauca,False,False
2017-02-01,3.7689290134518063,Cauca,False,False
2017-03-01,3.419509823993429,Cauca,False,False
2017-04-01,3.564231908897511,Cauca,False,False
2017-05-01,3.5507771222318274,Cauca,False,False
2017-06-01,3.289485648469975,Cauca,False,False
2017-07-01,3.7031463021024456,Cauca,False,False
2017-08-01,3.2759346539438483,Cauca,False,False
2017-09-01,3.0272757414746345,Cauca,False,False
2017-10-01,3.2560495363957336,Cauca,False,False
2017-11-01,3.609872982633064,Cauca,False,False
2017-12-01,3.560551851762514,Cauca,False,False
2018-01-01,3.2614979734508163,Cauca,False,False
2018-02-01,3.6333920349731184,Cauca,False,False
2018-03-01,3.5712145014183663,Cauca,False,False
2018-04-01,3.5606501425180603,Cauca,False,False
2018-05-01,3.428467167626384,Cauca,False,False
2018-06-01,3.631215360510581,Cauca,False,False
2018-07-01,3.4701302711424336,Cauca,False,False
2018-08-01,3.487303345911958,Cauca,False,False
2018-09-01,3.1059838735371064,Cauca,False,False
2018-10-01,3.864795657311528,Cauca,False,False
2018-11-01,3.336014352422981,Cauca,False,False
2018-12-01,3.955202617927087,Cauca,False,False
2019-01-01,3.457488308963385,Cauca,False,False
2019-02-01,3.178175785800693,Cauca,False,False
2019-03-01,3.37270810512092,Cauca,False,False
2019-04-01,3.447929054370507,Cauca,False,False
2019-05-01,3.4091259117354884,Cauca,False,False
2019-06-01,3.7578154387312073,Cauca,False,False
2019-07-01,3.5682609036324164,Cauca,False,False
2019-08-01,3.318840618429933,Cauca,False,False
2019-09-01,2.8695122829841537,Cauca,False,False
2019-10-01,3.2111952411038924,Cauca,False,False
2019-11-01,3.601095485828115,Cauca,False,False
