date,evi,ndvi,region,evi_fuera_de_rango,ndvi_fuera_de_rango,es_duplicado
2000-02-18,0.3854537647600048,0.7389632822940034,Cauca,False,False,False
2000-03-05,0.4454441074537796,0.7726822642831966,Cauca,False,False,False
2000-03-21,0.4554939179883448,0.760733162703372,Cauca,False,False,False
2000-04-06,0.4685296225816738,0.7663790233312257,Cauca,False,False,False
2000-04-22,0.4827944790075317,0.7596259972609275,Cauca,False,False,False
2000-05-08,0.4312375340234978,0.7639773080557025,Cauca,False,False,False
2000-05-24,0.452073252142716,0.7837005177226516,Cauca,False,False,False
2000-06-09,0.4810563859843954,0.7555371425465992,Cauca,False,False,False
2000-06-25,0.4627418317306399,0.7633074700377608,Cauca,False,False,False
2000-07-11,0.4420169562321894,0.7584483645156577,Cauca,False,False,False
2000-07-27,0.4886956897062359,0.7430821883409959,Cauca,False,False,False
2000-08-12,0.4242726390274518,0.7087544829927205,Cauca,False,False,False
2000-08-28,0.4577071130672809,0.7114386574099205,Cauca,False,False,False
2000-09-13,0.4158723485885313,0.6877664035113167,Cauca,False,False,False
2000-09-29,0.4577570744947641,0.7203163968488197,Cauca,False,False,False
2000-10-15,0.4449211250819667,0.715999358545449,Cauca,False,False,False
2000-10-31,0.4479085580520002,0.7486572072965179,Cauca,False,False,False
2000-11-16,0.4286024804721641,0.7542563483944319,Cauca,False,False,False
2000-12-02,0.4553582639123985,0.7712058083037427,Cauca,False,False,False
2000-12-18,0.4816261243806439,0.7625823793125278,Cauca,False,False,False
2001-01-01,0.437611161714558,0.7567469134428642,Cauca,False,False,False
2001-01-17,0.4275057867664962,0.7537175189470435,Cauca,False,False,False
2001-02-02,0.4465274986146055,0.7315086371563944,Cauca,False,False,False
2001-02-18,0.4521015879120933,0.7245442167181075,Cauca,False,False,False
2001-03-06,0.433351307130657,0.7582726042999891,Cauca,False,False,False
2001-03-22,0.4921852755571523,0.76079756193715,Cauca,False,False,False
2001-04-07,0.4636080336770704,0.7767669791584493,Cauca,False,False,False
2001-04-23,0.4511167482908981,0.7632307161886323,Cauca,False,False,False
2001-05-09,0.4454938857683343,0.7668919245409407,Cauca,False,False,False
2001-05-25,0.4504460693284932,0.7873741247027595,Cauca,False,False,False
2001-06-10,0.4693263453096928,0.7483769283601055,Cauca,False,False,False
2001-06-26,0.4085448826395631,0.7204429145761619,Cauca,False,False,False
