fold,rmse_train,rmse_validacion,mae_validacion,r2_validacion,pearson_validacion
1,0.01662232888285,0.021476236669514127,0.016865263205845665,0.6747692957702387,0.8447657564810487
2,0.018096703474426313,0.020449683708417776,0.0159230070616334,0.5267500036426386,0.7337661669190494
3,0.018337489939033218,0.019749193507598163,0.015158876844324976,0.7156327510835392,0.8500748066679908
4,0.018473677562949063,0.02652875845008762,0.019080092487322807,0.5063417647112712,0.734200563433823
5,0.02001322434092886,0.019107616345905198,0.015053088611393362,0.5580632290926114,0.7841988862143072
