region,window_start,window_end,ndvi,evi,precip_mm_lag0,pet_mm_lag0,tmean_c_lag0,dewpoint_c_lag0,soil_moist_layer1_lag0,soil_moist_layer2_lag0,soil_moist_layer3_lag0,lai_high_lag0,tmax_c_lag0,tmin_c_lag0,precip_mm_lag1,pet_mm_lag1,tmean_c_lag1,dewpoint_c_lag1,soil_moist_layer1_lag1,soil_moist_layer2_lag1,soil_moist_layer3_lag1,lai_high_lag1,tmax_c_lag1,tmin_c_lag1,precip_mm_lag2,pet_mm_lag2,tmean_c_lag2,dewpoint_c_lag2,soil_moist_layer1_lag2,soil_moist_layer2_lag2,soil_moist_layer3_lag2,lai_high_lag2,tmax_c_lag2,tmin_c_lag2,precip_mm_roll32,et_mm_lag0,et_mm_lag1,et_resolution,deficit_hidrico,soil_moist_anomaly,ndvi_lag_1year,evi_lag_1year,deficit_hidrico_trend2y,ndvi_lag1w,evi_lag1w,doy_sin,doy_cos
Cauca,2000-03-21,2000-04-06,0.760733162703372,0.4554939179883448,308.8381697331398,78.50295504139976,17.42945830263815,15.398229370006849,0.44857938751207616,0.4526694352128101,0.4512352398126049,3.960731135590456,22.274933925973134,13.857899678450991,256.2906962057291,89.9805108818854,17.642153260874295,15.505040835172839,0.44637229659745775,0.450156714808285,0.4490916260930799,3.9538856527964246,22.763726644926617,14.10730091694365,249.28754326478474,74.2585575933681,17.287234875485275,15.46234617054673,0.44984158876911573,0.4522271550420657,0.4473143445730879,3.9671307103022357,21.42541959574621,14.169213542733209,565.1288659388689,3.418989262136443,,monthly,230.33521469174005,0.003449048085027606,,,,0.7726822642831966,0.4454441074537796,0.984305844499033,0.17647097349152166
Cauca,2000-04-06,2000-04-22,0.7663790233312257,0.4685296225816738,306.59830190080083,72.49862155632863,17.7474670715242,15.811758297270515,0.44949269536087083,0.45372446519963106,0.4519969148704142,3.971305345026644,22.115116956388498,15.032311215666857,308.8381697331398,78.50295504139976,17.42945830263815,15.398229370006849,0.44857938751207616,0.4526694352128101,0.4512352398126049,3.960731135590456,22.274933925973134,13.857899678450991,256.2906962057291,89.9805108818854,17.642153260874295,15.505040835172839,0.44637229659745775,0.450156714808285,0.4490916260930799,3.9538856527964246,22.763726644926617,14.10730091694365,615.4364716339406,3.5650692039805114,3.418989262136443,monthly,234.0996803444722,0.0036349071943800326,,,,0.760733162703372,0.4554939179883448,0.9952176027737294,-0.09768276782171598
Cauca,2000-04-22,2000-05-08,0.7596259972609275,0.4827944790075317,394.7807987776822,69.53863802187352,17.90032565178482,16.012230501019587,0.45012940390762146,0.45475253631390555,0.4504293207297969,3.961116572732836,22.003388049965444,14.863646692344172,306.59830190080083,72.49862155632863,17.7474670715242,15.811758297270515,0.44949269536087083,0.45372446519963106,0.4519969148704142,3.971305345026644,22.115116956388498,15.032311215666857,308.8381697331398,78.50295504139976,17.42945830263815,15.398229370006849,0.44857938751207616,0.4526694352128101,0.4512352398126049,3.960731135590456,22.274933925973134,13.857899678450991,701.379100678483,3.5650692039805114,3.418989262136443,monthly,325.2421607558087,0.003289970517576457,,,,0.7663790233312257,0.4685296225816738,0.9312100364121947,-0.3644830148102912
Cauca,2000-05-08,2000-05-24,0.7639773080557025,0.4312375340234978,402.759070447924,65.12135407695716,17.766221324491738,15.949440888302117,0.45090561635121434,0.4551169956194694,0.45153616936514995,3.95065241617293,21.649495498829445,15.125960387153336,394.7807987776822,69.53863802187352,17.90032565178482,16.012230501019587,0.45012940390762146,0.45475253631390555,0.4504293207297969,3.961116572732836,22.003388049965444,14.863646692344172,306.59830190080083,72.49862155632863,17.7474670715242,15.811758297270515,0.44949269536087083,0.45372446519963106,0.4519969148704142,3.971305345026644,22.115116956388498,15.032311215666857,797.5398692256063,3.5287043415097195,3.5650692039805114,monthly,337.6377163709668,0.004899921000116991,,,,0.7596259972609275,0.4827944790075317,0.7971015927871943,-0.6038452208771035
Cauca,2000-05-24,2000-06-09,0.7837005177226516,0.452073252142716,331.7270914585979,68.32826113242885,17.66649631268856,15.628235530226844,0.4485620311046849,0.4526655573198014,0.44709733212893965,3.965457085132247,21.76469842188062,14.752223208172666,402.759070447924,65.12135407695716,17.766221324491738,15.949440888302117,0.45090561635121434,0.4551169956194694,0.45153616936514995,3.95065241617293,21.649495498829445,15.125960387153336,394.7807987776822,69.53863802187352,17.90032565178482,16.012230501019587,0.45012940390762146,0.45475253631390555,0.4504293207297969,3.961116572732836,22.003388049965444,14.863646692344172,734.4861619065218,3.5287043415097195,3.5650692039805114,monthly,263.39883032616905,0.0028620335824672827,,,,0.7639773080557025,0.4312375340234978,0.6029878670694714,-0.7977503570459932
Cauca,2000-06-09,2000-06-25,0.7555371425465992,0.4810563859843954,349.48874735871004,67.26563986056993,17.41201944643522,15.44349856366593,0.4472687312202308,0.4509116896096907,0.44525242151407757,3.9796353668121807,21.63116804175286,14.19263594668432,331.7270914585979,68.32826113242885,17.66649631268856,15.628235530226844,0.4485620311046849,0.4526655573198014,0.44709733212893965,3.965457085132247,21.76469842188062,14.752223208172666,402.759070447924,65.12135407695716,17.766221324491738,15.949440888302117,0.45090561635121434,0.4551169956194694,0.45153616936514995,3.95065241617293,21.649495498829445,15.125960387153336,681.2158388173079,3.627669258666594,3.5287043415097195,monthly,282.2231074981401,0.004830229688492116,,,,0.7837005177226516,0.452073252142716,0.36348161248290634,-0.9316013725767187
Cauca,2000-06-25,2000-07-11,0.7633074700377608,0.4627418317306399,305.8742837382113,71.90164429754927,17.515912694661687,15.150987823806496,0.44208296703964883,0.44603272768961577,0.44257824611795055,3.9752765559901717,22.454491841292405,13.587147234642844,349.48874735871004,67.26563986056993,17.41201944643522,15.44349856366593,0.4472687312202308,0.4509116896096907,0.44525242151407757,3.9796353668121807,21.63116804175286,14.19263594668432,331.7270914585979,68.32826113242885,17.66649631268856,15.628235530226844,0.4485620311046849,0.4526655573198014,0.44709733212893965,3.965457085132247,21.76469842188062,14.752223208172666,655.3630310969213,3.627669258666594,3.5287043415097195,monthly,233.97263944066205,0.004627396352709534,,,,0.7555371425465992,0.4810563859843954,0.0966127018812031,-0.9953220513156602
Cauca,2000-07-11,2000-07-27,0.7584483645156577,0.4420169562321894,375.06772165889805,71.51763916064523,17.171829434060793,15.03751633265765,0.44410845134035914,0.4474238756576132,0.44104404010461173,3.962177083011067,21.87303149221652,13.879157428223987,305.8742837382113,71.90164429754927,17.515912694661687,15.150987823806496,0.44208296703964883,0.44603272768961577,0.44257824611795055,3.9752765559901717,22.454491841292405,13.587147234642844,349.48874735871004,67.26563986056993,17.41201944643522,15.44349856366593,0.4472687312202308,0.4509116896096907,0.44525242151407757,3.9796353668121807,21.63116804175286,14.19263594668432,680.9420053971094,3.71040277921328,3.627669258666594,monthly,303.55008249825283,0.009841897566710889,,,,0.7633074700377608,0.4627418317306399,-0.17752914918703497,-0.984115542601034
Cauca,2000-07-27,2000-08-12,0.7430821883409959,0.4886956897062359,327.6742162246598,83.29186538112376,17.068229159998943,14.523481036379675,0.4433381055849155,0.44767157540878777,0.4460748057416956,3.930752155954042,22.94744027696873,13.449201931696283,375.06772165889805,71.51763916064523,17.171829434060793,15.03751633265765,0.44410845134035914,0.4474238756576132,0.44104404010461173,3.962177083011067,21.87303149221652,13.879157428223987,305.8742837382113,71.90164429754927,17.515912694661687,15.150987823806496,0.44208296703964883,0.44603272768961577,0.44257824611795055,3.9752765559901717,22.454491841292405,13.587147234642844,702.7419378835579,3.71040277921328,3.627669258666594,monthly,244.38235084353605,0.016104382603237877,,,,0.7584483645156577,0.4420169562321894,-0.4383067230125192,-0.898825465016444
Cauca,2000-08-12,2000-08-28,0.7087544829927205,0.4242726390274518,264.3810974604698,101.89875635533858,17.79724897584477,14.500295697072449,0.42054322926904775,0.4251835003529752,0.42775793629796877,3.9074397029357404,22.696728630015183,13.522474542988451,327.6742162246598,83.29186538112376,17.068229159998943,14.523481036379675,0.4433381055849155,0.44767157540878777,0.4460748057416956,3.930752155954042,22.94744027696873,13.449201931696283,375.06772165889805,71.51763916064523,17.171829434060793,15.03751633265765,0.44410845134035914,0.4474238756576132,0.44104404010461173,3.962177083011067,21.87303149221652,13.879157428223987,592.0553136851296,3.723394021604889,3.71040277921328,monthly,162.4823411051312,-0.004918030089916314,,,,0.7430821883409959,0.4886956897062359,-0.666088855860977,-0.7458723993404063
Cauca,2000-08-28,2000-09-13,0.7114386574099205,0.4577071130672809,366.29331035574444,89.13556205562264,17.750284383689795,15.240863954130848,0.43733159886690215,0.4377842965985035,0.43136373031133957,3.9044845074065018,22.720778436922348,14.175065841101164,264.3810974604698,101.89875635533858,17.79724897584477,14.500295697072449,0.42054322926904775,0.4251835003529752,0.42775793629796877,3.9074397029357404,22.696728630015183,13.522474542988451,327.6742162246598,83.29186538112376,17.068229159998943,14.523481036379675,0.4433381055849155,0.44767157540878777,0.4460748057416956,3.930752155954042,22.94744027696873,13.449201931696283,630.6744078162142,3.723394021604889,3.71040277921328,monthly,277.1577483001218,0.01259098456139307,,,,0.7087544829927205,0.4242726390274518,-0.8437282590292712,-0.5367705514607103
Cauca,2000-09-13,2000-09-29,0.6877664035113167,0.4158723485885313,359.1942917356166,87.36145148074078,17.488725614341362,15.095943886041592,0.443560891794368,0.4465254036354829,0.4409622342606643,3.9056181417496507,22.627428829862243,13.928194300427664,366.29331035574444,89.13556205562264,17.750284383689795,15.240863954130848,0.43733159886690215,0.4377842965985035,0.43136373031133957,3.9044845074065018,22.720778436922348,14.175065841101164,264.3810974604698,101.89875635533858,17.79724897584477,14.500295697072449,0.42054322926904775,0.4251835003529752,0.42775793629796877,3.9074397029357404,22.696728630015183,13.522474542988451,725.487602091361,3.504823360961528,3.723394021604889,monthly,271.8328402548758,0.014781260815416308,,,,0.7114386574099205,0.4577071130672809,-0.9578523554276669,-0.28726097055059635
Cauca,2000-09-29,2000-10-15,0.7203163968488197,0.4577570744947641,348.94408866014203,87.63669804885944,17.529669396099585,15.05445705312829,0.4412268841700425,0.4446127332144712,0.44159192435975775,3.9127967267113832,22.155076017012075,14.164082486216463,359.1942917356166,87.36145148074078,17.488725614341362,15.095943886041592,0.443560891794368,0.4465254036354829,0.4409622342606643,3.9056181417496507,22.627428829862243,13.928194300427664,366.29331035574444,89.13556205562264,17.750284383689795,15.240863954130848,0.43733159886690215,0.4377842965985035,0.43136373031133957,3.9044845074065018,22.720778436922348,14.175065841101164,708.1383803957586,3.504823360961528,3.723394021604889,monthly,261.3073906112826,0.0030012076133417165,,,,0.6877664035113167,0.4158723485885313,-0.9998699583618592,-0.016126573270657762
Cauca,2000-10-15,2000-10-31,0.715999358545449,0.4449211250819667,411.78300074203804,68.1530448985236,17.740235429844617,15.743219723609013,0.44183952951318595,0.4440971551722096,0.43937308203772707,3.9241031378291034,22.710880788396533,14.896489781503336,348.94408866014203,87.63669804885944,17.529669396099585,15.05445705312829,0.4412268841700425,0.4446127332144712,0.44159192435975775,3.9127967267113832,22.155076017012075,14.164082486216463,359.1942917356166,87.36145148074078,17.488725614341362,15.095943886041592,0.443560891794368,0.4465254036354829,0.4409622342606643,3.9056181417496507,22.627428829862243,13.928194300427664,760.7270894021801,3.874303178883212,3.504823360961528,monthly,343.62995584351444,-0.002264259590270823,,,,0.7203163968488197,0.4577570744947641,-0.9666180104000972,0.2562218218071163
