date,dewpoint_c,lai_high,pet_mm,precip_mm,region,soil_moist_layer1,soil_moist_layer2,soil_moist_layer3,tmax_c,tmean_c,tmin_c
2000-02-18,14.564959258861853,3.974088363343389,-5.823622716576556,9.248528516933781,Cauca,0.44586865279304694,0.441765500648589,0.4357129138717387,21.004185592329012,16.946506448513134,14.33709963529844
2000-02-19,15.122819754320204,3.9731659646568867,-5.549712770371881,9.662686786355108,Cauca,0.44736206562575004,0.44593272174686066,0.43402157300388394,21.208266747047745,17.345149187166353,14.959298674040182
2000-02-20,15.204410467120988,3.9722397483145104,-5.464751488284355,16.44695665289355,Cauca,0.4502128196549632,0.4511854422216478,0.43592825016248543,20.748073218549383,17.172895370321733,14.936827149194315
2000-02-21,15.00614283337604,3.971304349294874,-5.373965973921595,9.915051716642928,Cauca,0.44729688140754353,0.44988093980428273,0.4390899048406345,20.976826034779286,17.006464857792622,14.169213542733209
2000-02-22,15.733581064455208,3.970381192522391,-4.02494447109571,24.785474675039854,Cauca,0.45212196934053656,0.4562798508530671,0.4443769964459675,20.69837824542235,17.083245551107073,15.212337881568963
2000-02-23,15.64583222439833,3.9694437765918114,-4.159262370101581,20.479963684613484,Cauca,0.45312089570185043,0.4563699523422438,0.45094177190307877,20.682492589235547,17.090524434954233,14.92987500721059
2000-02-24,15.73533803321176,3.96851920051163,-2.9047738749737246,30.302367280267493,Cauca,0.4537936331759679,0.45770042798613364,0.453252893121857,19.763186995450504,16.771080515376465,15.262656991972
2000-02-25,15.267178513696923,3.9675975266653194,-3.7319384737841945,10.365985094145653,Cauca,0.4536665732594882,0.454811117790905,0.45125481668280293,19.865499580893008,16.983095529180478,15.247690071347153
2000-02-26,15.410172557178834,3.9666633068449295,-4.1784740056637,11.717427407013345,Cauca,0.45095704720387214,0.45179430905374096,0.44899095297025415,20.759568927915723,17.2221818229235,14.931024087423035
2000-02-27,15.770193593302714,3.9657409682881486,-3.5729930612458394,17.23032539982076,Cauca,0.4505415080813321,0.4541524849948533,0.4490652242413429,19.96913113661205,17.229322592519615,15.439860327333266
2000-02-28,15.54338921369888,3.9648092517522096,-4.225967132600121,16.182833824458925,Cauca,0.45356250036611384,0.45695902413989986,0.4525820254238471,20.736779238447827,17.332613418279703,15.30445099560335
2000-02-29,15.848412063672404,3.9638836239833624,-4.381223642568593,18.53686901619042,Cauca,0.450861735677823,0.4559679121113453,0.4550723630557397,21.127294169658388,17.438665510942787,15.261314046354164
